13
e_L                 onsite              nnhop               ospair              
(-1.32,0)           (-0.0280238,0)      (-0.000769321,0)    (0.0179231,0)       
(-1.56,0)           (-0.0575493,0)      (-0.000711518,0)    (0.0242068,0)       
(-1.52,0)           (0.00595942,0)      (-0.000690377,0)    (0.00857989,0)      
(-1.48,0)           (-0.0232967,0)      (-0.000717949,0)    (0.0160374,0)       
(-1.44,0)           (-0.0183758,0)      (-0.000727583,0)    (0.0149901,0)       
(-1.4,0)            (-0.00858202,0)     (-0.000734506,0)    (0.012728,0)        
(-1.56,0)           (-0.0136136,0)      (-0.000688357,0)    (0.0132722,0)       
(-1.48,0)           (-0.0477023,0)      (-0.000730865,0)    (0.0221122,0)       
(-1.72,0)           (-0.043043,0)       (-0.000655243,0)    (0.0198909,0)       
(-1.44,0)           (0.00114916,0)      (-0.000717258,0)    (0.0101303,0)       
(-1.56,0)           (-0.0673028,0)      (-0.00071682,0)     (0.0266366,0)       
(-1.6,0)            (-0.0429246,0)      (-0.000691878,0)    (0.0203939,0)       
(-1.36,0)           (0.0207496,0)       (-0.000731304,0)    (0.00560593,0)      
(-1.56,0)           (0.0205686,0)       (-0.000670498,0)    (0.00476728,0)      
(-1.36,0)           (-0.0329499,0)      (-0.000759607,0)    (0.0189705,0)       
(-1.68,0)           (-0.0332389,0)      (-0.000662325,0)    (0.0176286,0)       
(-1.44,0)           (-0.0278777,0)      (-0.00107122,0)     (0.0222685,0)       
(-1.56,0)           (-0.0428972,0)      (-0.000703904,0)    (0.0205618,0)       
(-1.44,0)           (-0.0278623,0)      (-0.00107146,0)     (0.0222683,0)       
(-1.48,0)           (0.0303976,0)       (-0.000689566,0)    (0.00267294,0)      
(-1.24,0)           (0.0302065,0)       (-0.00109025,0)     (0.00853307,0)      
(-1.56,0)           (-0.0526584,0)      (-0.000709086,0)    (0.0229917,0)       
(-1.4,0)            (0.0256053,0)       (-0.000716727,0)    (0.00422308,0)      
(-1.8,0)            (-0.00379379,0)     (-0.00094892,0)     (0.0146842,0)       
(-1.24,0)           (-0.0279586,0)      (-0.000793532,0)    (0.0182587,0)       
(-1.2,0)            (-0.0279157,0)      (-0.000805797,0)    (0.0184263,0)       
(-1.4,0)            (-0.0671647,0)      (-0.000765361,0)    (0.0273076,0)       
(-1.68,0)           (-0.0918293,0)      (-0.000693061,0)    (0.0322083,0)       
(-1.24,0)           (0.0355046,0)       (-0.000760086,0)    (0.00246423,0)      
(-1.48,0)           (-0.00864978,0)     (-0.000710256,0)    (0.0123925,0)       
(-1.36,0)           (-0.00854685,0)     (-0.000746652,0)    (0.0128958,0)       
(-1.48,0)           (-0.0184136,0)      (-0.000715398,0)    (0.0148224,0)       
(-1.36,0)           (-0.0131502,0)      (-0.00108798,0)     (0.018959,0)        
(-1.44,0)           (-0.00861205,0)     (-0.000722441,0)    (0.0125602,0)       
(-1.68,0)           (-0.0332441,0)      (-0.000662246,0)    (0.0176287,0)       
(-1.44,0)           (0.00114402,0)      (-0.000717179,0)    (0.0101304,0)       
