26
e_L                 onsite              nnhop               ospair              ophop               nnJastrow           nnnJastrow          
(1.0056,0)          (0.116574,0)        (-0.232849,0)       (0.594171,0)        (-0.451853,0)       (0.09,0)            (0.12,0)            
(1.01237,0)         (0.323842,0)        (-0.418522,0)       (0.496105,0)        (-0.359539,0)       (0.24,0)            (0.24,0)            
(1.02777,0)         (0.268469,0)        (-0.393101,0)       (0.526455,0)        (-0.361368,0)       (0.24,0)            (0.19,0)            
(0.980379,0)        (0.166,0)           (-0.293532,0)       (0.579252,0)        (-0.419977,0)       (0.12,0)            (0.23,0)            
(0.953438,0)        (0.225214,0)        (-0.366933,0)       (0.574465,0)        (-0.394048,0)       (0.15,0)            (0.35,0)            
(0.985518,0)        (0.248538,0)        (-0.440659,0)       (0.57209,0)         (-0.33337,0)        (0.25,0)            (0.34,0)            
(0.979986,0)        (0.277082,0)        (-0.412949,0)       (0.543808,0)        (-0.365353,0)       (0.21,0)            (0.32,0)            
(0.997691,0)        (0.232763,0)        (-0.392733,0)       (0.588149,0)        (-0.38665,0)        (0.2,0)             (0.26,0)            
(1.01233,0)         (0.287654,0)        (-0.420865,0)       (0.524376,0)        (-0.348,0)          (0.25,0)            (0.25,0)            
(0.976088,0)        (0.292427,0)        (-0.392733,0)       (0.516165,0)        (-0.376084,0)       (0.19,0)            (0.31,0)            
(0.992858,0)        (0.305571,0)        (-0.456141,0)       (0.518439,0)        (-0.321109,0)       (0.27,0)            (0.33,0)            
(0.972321,0)        (0.255419,0)        (-0.329261,0)       (0.510507,0)        (-0.403297,0)       (0.14,0)            (0.27,0)            
(0.985736,0)        (0.222585,0)        (-0.382367,0)       (0.568047,0)        (-0.367747,0)       (0.2,0)             (0.29,0)            
(0.974585,0)        (0.115344,0)        (-0.31093,0)        (0.629055,0)        (-0.398272,0)       (0.14,0)            (0.27,0)            
(1.00547,0)         (0.076974,0)        (-0.255403,0)       (0.633213,0)        (-0.425008,0)       (0.12,0)            (0.15,0)            
(0.984189,0)        (0.19322,0)         (-0.344311,0)       (0.587152,0)        (-0.399122,0)       (0.16,0)            (0.26,0)            
(0.976283,0)        (0.263432,0)        (-0.493843,0)       (0.611645,0)        (-0.328738,0)       (0.27,0)            (0.4,0)             
(1.00155,0)         (0.227207,0)        (-0.425642,0)       (0.61355,0)         (-0.369561,0)       (0.23,0)            (0.28,0)            
(0.959057,0)        (0.22307,0)         (-0.379607,0)       (0.576718,0)        (-0.379961,0)       (0.17,0)            (0.35,0)            
(1.03552,0)         (0.270555,0)        (-0.451403,0)       (0.564242,0)        (-0.336138,0)       (0.29,0)            (0.22,0)            
(0.966703,0)        (0.211586,0)        (-0.306236,0)       (0.538768,0)        (-0.412202,0)       (0.12,0)            (0.27,0)            
(0.993575,0)        (0.228084,0)        (-0.420457,0)       (0.595063,0)        (-0.357823,0)       (0.23,0)            (0.3,0)             
(1.01862,0)         (0.194822,0)        (-0.405372,0)       (0.616267,0)        (-0.361678,0)       (0.24,0)            (0.23,0)            
(0.976176,0)        (0.249862,0)        (-0.36217,0)        (0.535908,0)        (-0.386208,0)       (0.17,0)            (0.29,0)            
(0.998583,0)        (0.139112,0)        (-0.31145,0)        (0.658488,0)        (-0.451383,0)       (0.12,0)            (0.19,0)            
