e_L                 onsite              nnhop               ospair              nnpair              
3.34                (1.15978,0)         (-1.58263,0)        (1.13522,0)         (-0.712365,0)       
3.352               (1.0748,0)          (-1.54428,0)        (1.22118,0)         (-0.7517,0)         
3.164               (1.04301,0)         (-1.52806,0)        (1.25302,0)         (-0.767978,0)       
3.376               (1.27595,0)         (-1.63851,0)        (1.021,0)           (-0.658435,0)       
3.448               (1.2094,0)          (-1.73158,0)        (1.20155,0)         (-0.67937,0)        
3.268               (1.17035,0)         (-1.55822,0)        (1.09786,0)         (-0.709989,0)       
3.484               (0.99529,0)         (-1.37814,0)        (1.18712,0)         (-0.804278,0)       
3.696               (1.39726,0)         (-1.81454,0)        (1.00309,0)         (-0.585812,0)       
3.592               (1.22999,0)         (-1.66162,0)        (1.10259,0)         (-0.670959,0)       
3.272               (1.11796,0)         (-1.59825,0)        (1.21234,0)         (-0.732044,0)       
3.436               (1.33502,0)         (-1.71946,0)        (1.00475,0)         (-0.620309,0)       
3.696               (1.13898,0)         (-1.57094,0)        (1.15646,0)         (-0.724492,0)       
3.468               (1.20822,0)         (-1.70157,0)        (1.17255,0)         (-0.679198,0)       
3.46                (1.2514,0)          (-1.68422,0)        (1.09415,0)         (-0.661332,0)       
3.288               (1.14876,0)         (-1.59675,0)        (1.16496,0)         (-0.716967,0)       
3.296               (1.21744,0)         (-1.65041,0)        (1.10593,0)         (-0.672964,0)       
3.56                (1.00303,0)         (-1.41446,0)        (1.20459,0)         (-0.793151,0)       
3.48                (1.3233,0)          (-1.79414,0)        (1.09025,0)         (-0.619408,0)       
3.392               (1.13773,0)         (-1.58335,0)        (1.16582,0)         (-0.720203,0)       
3.404               (1.0067,0)          (-1.40629,0)        (1.19958,0)         (-0.799985,0)       
3.576               (1.15807,0)         (-1.56498,0)        (1.11853,0)         (-0.711624,0)       
3.444               (1.27286,0)         (-1.7006,0)         (1.08047,0)         (-0.652731,0)       
3.628               (0.982568,0)        (-1.44257,0)        (1.26304,0)         (-0.80304,0)        
3.348               (1.08296,0)         (-1.52834,0)        (1.18923,0)         (-0.743843,0)       
3.404               (1.12804,0)         (-1.61846,0)        (1.21641,0)         (-0.725988,0)       
3.588               (1.08352,0)         (-1.52574,0)        (1.18636,0)         (-0.744135,0)       
3.584               (1.02655,0)         (-1.45407,0)        (1.21339,0)         (-0.785875,0)       
3.456               (1.14018,0)         (-1.55743,0)        (1.1437,0)          (-0.726456,0)       
3.456               (0.921613,0)        (-1.29399,0)        (1.21478,0)         (-0.842405,0)       
3.544               (1.30561,0)         (-1.74642,0)        (1.07692,0)         (-0.636113,0)       
3.692               (1.33108,0)         (-1.75694,0)        (1.03861,0)         (-0.612753,0)       
3.588               (1.12994,0)         (-1.60361,0)        (1.20218,0)         (-0.728506,0)       
3.536               (1.20206,0)         (-1.62985,0)        (1.12084,0)         (-0.693058,0)       
3.572               (0.777624,0)        (-1.15952,0)        (1.29975,0)         (-0.917852,0)       
3.572               (1.23102,0)         (-1.63064,0)        (1.07375,0)         (-0.674129,0)       
3.324               (1.31242,0)         (-1.79118,0)        (1.10272,0)         (-0.623963,0)       
3.268               (1.35615,0)         (-1.78277,0)        (1.03516,0)         (-0.608538,0)       
3.256               (1.34577,0)         (-1.80385,0)        (1.07022,0)         (-0.612143,0)       
3.46                (1.21192,0)         (-1.59967,0)        (1.07614,0)         (-0.688384,0)       
3.484               (1.02385,0)         (-1.46678,0)        (1.22409,0)         (-0.78116,0)        
3.32                (1.32168,0)         (-1.7837,0)         (1.08062,0)         (-0.61861,0)        
3.728               (1.36478,0)         (-1.77368,0)        (1.00998,0)         (-0.601085,0)       
3.264               (1.02745,0)         (-1.48737,0)        (1.2463,0)          (-0.786376,0)       
3.412               (1.15446,0)         (-1.6311,0)         (1.17952,0)         (-0.702874,0)       
3.42                (1.22084,0)         (-1.65242,0)        (1.11006,0)         (-0.678478,0)       
3.504               (1.30132,0)         (-1.79845,0)        (1.12601,0)         (-0.628886,0)       
3.572               (1.24293,0)         (-1.70584,0)        (1.13082,0)         (-0.667906,0)       
3.52                (1.06277,0)         (-1.52398,0)        (1.21697,0)         (-0.755761,0)       
3.38                (1.08655,0)         (-1.52652,0)        (1.18861,0)         (-0.748637,0)       
3.536               (1.06499,0)         (-1.46647,0)        (1.16276,0)         (-0.761282,0)       
3.572               (0.99327,0)         (-1.41826,0)        (1.22528,0)         (-0.800289,0)       
3.6                 (1.13038,0)         (-1.5121,0)         (1.11542,0)         (-0.733698,0)       
3.352               (1.27966,0)         (-1.76153,0)        (1.12049,0)         (-0.638623,0)       
3.452               (1.04721,0)         (-1.46716,0)        (1.19587,0)         (-0.775913,0)       
3.404               (1.27084,0)         (-1.73151,0)        (1.10775,0)         (-0.647081,0)       
3.464               (1.15622,0)         (-1.63069,0)        (1.18075,0)         (-0.706282,0)       
3.308               (1.17844,0)         (-1.59823,0)        (1.1189,0)          (-0.699108,0)       
3.532               (1.14906,0)         (-1.53247,0)        (1.10336,0)         (-0.719954,0)       
3.64                (1.13949,0)         (-1.52096,0)        (1.10804,0)         (-0.72657,0)        
3.512               (1.20044,0)         (-1.65353,0)        (1.14144,0)         (-0.688356,0)       
3.328               (1.10914,0)         (-1.56524,0)        (1.19597,0)         (-0.73988,0)        
3.58                (1.19942,0)         (-1.66487,0)        (1.15287,0)         (-0.687417,0)       
3.216               (1.02577,0)         (-1.39796,0)        (1.15973,0)         (-0.787541,0)       
3.388               (1.41858,0)         (-1.87676,0)        (1.0319,0)          (-0.57373,0)        
3.468               (1.17612,0)         (-1.60026,0)        (1.11949,0)         (-0.695346,0)       
3.488               (1.36813,0)         (-1.78296,0)        (1.02137,0)         (-0.606534,0)       
3.72                (1.08506,0)         (-1.54863,0)        (1.20926,0)         (-0.745686,0)       
3.6                 (1.31473,0)         (-1.81899,0)        (1.1315,0)          (-0.627242,0)       
3.296               (1.17726,0)         (-1.58817,0)        (1.10862,0)         (-0.697711,0)       
3.412               (1.27142,0)         (-1.70628,0)        (1.08503,0)         (-0.650167,0)       
3.308               (1.20975,0)         (-1.67533,0)        (1.14687,0)         (-0.681283,0)       
3.636               (1.42545,0)         (-1.91835,0)        (1.05473,0)         (-0.561823,0)       
3.588               (1.2604,0)          (-1.74549,0)        (1.137,0)           (-0.651904,0)       
3.508               (1.25035,0)         (-1.70681,0)        (1.11485,0)         (-0.658387,0)       
3.3                 (1.34654,0)         (-1.77269,0)        (1.04195,0)         (-0.615795,0)       
3.616               (1.26068,0)         (-1.73001,0)        (1.12279,0)         (-0.653455,0)       
3.416               (1.22204,0)         (-1.63285,0)        (1.09228,0)         (-0.681463,0)       
3.724               (1.32549,0)         (-1.75646,0)        (1.05637,0)         (-0.625404,0)       
