nnhop               nnpair              nnnpair             nnnnpair            
-0.448296           0.0397205           -0.954871           -0.532143           
-0.448296           0.0549943           -1.00029            -0.515879           
-0.448296           0.066952            -1.05259            -0.514952           
-0.448296           0.0864245           -1.08654            -0.48027            
-0.448296           0.135464            -1.0878             -0.412629           
-0.448296           0.0699144           -1.27746            -0.527198           
-0.448296           0.062496            -1.34862            -0.531178           
-0.448296           0.109322            -1.35926            -0.455052           
-0.448296           0.109322            -1.35926            -0.455052           
-0.448296           0.166486            -1.3427             -0.365901           
-0.448296           0.111126            -1.69085            -0.579624           
-0.448296           -0.00811848         -2.12326            -0.869041           
-0.448296           -0.0678516          -2.73378            -1.31868            
-0.448296           -0.051835           -2.34697            -0.859602           
-0.448296           0.195269            -2.47779            -0.898959           
-0.448296           0.280854            -2.11604            -0.603517           
-0.448296           0.280854            -2.11604            -0.603517           
-0.448296           0.280854            -2.11604            -0.603517           
-0.448296           0.280854            -2.11604            -0.603517           
-0.448296           0.280854            -2.11604            -0.603517           
-0.448296           0.280854            -2.11604            -0.603517           
-0.448296           0.280854            -2.11604            -0.603517           
-0.448296           0.280854            -2.11604            -0.603517           
-0.448296           0.280854            -2.11604            -0.603517           
-0.448296           0.280854            -2.11604            -0.603517           
-0.448296           0.280854            -2.11604            -0.603517           
-0.448296           -0.100049           -1.0099             0.023354            
-0.448296           -0.0906822          -1.04049            0.0211543           
-0.448296           -0.0699535          -1.0895             0.0332144           
-0.448296           -0.0534428          -1.13663            0.042771            
-0.448296           -0.0551773          -1.15716            0.0285621           
-0.448296           -0.0476044          -1.17522            0.0247912           
-0.448296           -0.0532824          -1.18078            0.00613687          
-0.448296           -0.0615011          -1.2169             -0.0115687          
-0.448296           -0.0684433          -1.24841            -0.0277683          
-0.448296           -0.0498599          -1.27582            -0.0126254          
-0.448296           -0.0567137          -1.29167            -0.025856           
-0.448296           -0.0596791          -1.28212            -0.035321           
-0.448296           -0.0417655          -1.28294            -0.0184879          
-0.448296           -0.0156438          -1.30966            0.0029808           
-0.448296           -0.0178282          -1.25938            0.00176028          
-0.448296           -0.000200909        -1.30414            0.0191338           
-0.448296           0.0136733           -1.36013            0.032736            
-0.448296           0.0218897           -1.41945            0.0426395           
-0.448296           0.0269927           -1.41547            0.0394001           
-0.448296           0.00379658          -1.41044            0.0120057           
-0.448296           0.0175051           -1.41836            0.0201899           
-0.448296           0.0266731           -1.41322            0.0226126           
-0.448296           0.019022            -1.48106            0.0126864           
-0.448296           0.0113344           -1.46749            0.0111771           
-0.448296           0.0249849           -1.48451            0.0275628           
