onsite              nnhop               ospair              nnpair              
0.5                 0.5                 0.5                 0.5                 
0.485743            0.492335            0.472606            0.473975            
0.471672            0.484621            0.445807            0.451179            
0.474129            0.492044            0.447833            0.4588              
0.475878            0.498773            0.448402            0.464575            
0.472911            0.501133            0.440912            0.462416            
0.473199            0.5064              0.438842            0.46552             
0.517637            0.554369            0.513005            0.545511            
0.512519            0.555436            0.500012            0.535878            
0.502606            0.551668            0.478822            0.518642            
0.498961            0.553883            0.468942            0.514106            
0.495166            0.555644            0.458769            0.508946            
0.505661            0.571704            0.473684            0.529233            
0.502428            0.574197            0.464183            0.525054            
0.523725            0.601595            0.49742             0.563656            
0.518304            0.601652            0.482672            0.55236             
0.515012            0.604208            0.472347            0.54756             
0.509463            0.604227            0.458073            0.538961            
0.511492            0.612073            0.457312            0.544057            
0.50955             0.615536            0.449197            0.541463            
0.512726            0.624398            0.450105            0.547875            
0.509892            0.626726            0.440339            0.543439            
0.502676            0.624118            0.422973            0.531604            
2.15887             2.41765             3.2615              3.23698             
2.60512             3.00487             3.8919              3.479               
1.92232             2.26553             1.70818             1.02968             
1.8378              2.25415             1.49578             1.0628              
1.81298             2.29527             1.4149              1.1179              
1.869               2.4251              1.48773             1.23054             
1.85036             2.47425             1.40558             1.27585             
1.79194             2.47043             1.24348             1.27303             
1.76051             2.48652             1.13499             1.27738             
1.72131             2.48816             1.01571             1.27064             
1.72102             2.5313              0.95765             1.28912             
1.70315             2.54594             0.875819            1.28327             
1.68691             2.55557             0.801634            1.27025             
1.66749             2.55866             0.728767            1.2549              
1.64441             2.54039             0.671478            1.21472             
1.6395              2.55923             0.61804             1.21184             
1.64772             2.58056             0.59594             1.19671             
1.64471             2.5809              0.578115            1.16746             
1.63947             2.58148             0.551958            1.14269             
1.65589             2.60951             0.547961            1.13003             
1.67876             2.648               0.54594             1.12241             
1.69778             2.69185             0.527104            1.12615             
1.70292             2.70352             0.523022            1.10931             
1.52195             2.42642             0.432497            0.96418             
1.52849             2.44416             0.420108            0.956508            
1.53066             2.45174             0.41295             0.942518            
1.53203             2.46181             0.397664            0.93274             
1.56054             2.51534             0.397897            0.939324            
1.57067             2.54175             0.384534            0.937504            
1.59172             2.58374             0.381103            0.938696            
1.59659             2.59618             0.378648            0.92849             
1.59939             2.60813             0.366029            0.919248            
1.6612              2.72156             0.373786            0.942253            
1.42607             2.30504             0.267811            0.781778            
1.42025             2.29864             0.261593            0.769408            
1.42307             2.30787             0.257569            0.762675            
1.47695             2.41117             0.267655            0.787311            
1.48136             2.42373             0.263141            0.78102             
1.46756             2.40173             0.253977            0.763646            
1.47084             2.41184             0.249759            0.756894            
1.11541             1.73253             0.150837            0.534901            
1.11619             1.73666             0.149474            0.531593            
1.11337             1.73427             0.147467            0.526311            
1.10792             1.72699             0.145068            0.519605            
1.10742             1.72871             0.143608            0.515725            
1.10856             1.73339             0.142431            0.512818            
1.12785             1.77171             0.144491            0.51993             
1.12608             1.77096             0.142838            0.515287            
1.12659             1.77445             0.141587            0.511871            
1.12949             1.78244             0.140815            0.509817            
1.12713             1.78036             0.139145            0.504884            
1.1254              1.77948             0.137606            0.500383            
1.12104             1.77341             0.135698            0.494435            
1.11938             1.77249             0.134286            0.49007             
1.11727             1.77068             0.132803            0.485508            
1.11689             1.77215             0.131662            0.481879            
1.11809             1.77672             0.130765            0.479145            
1.10597             1.75488             0.127762            0.469308            
1.10456             1.75424             0.126563            0.465339            
1.10273             1.75267             0.125328            0.461201            
1.10369             1.75665             0.124519            0.45858             
1.10368             1.75868             0.123588            0.455441            
1.10265             1.75859             0.122539            0.45178             
1.10271             1.76069             0.121675            0.448753            
1.10588             1.76909             0.12129             0.447318            
1.10846             1.77632             0.120796            0.445584            
1.1089              1.77911             0.12                0.442729            
1.14542             1.85684             0.124509            0.458457            
1.14015             1.84752             0.122863            0.45232             
1.14569             1.86104             0.122802            0.451871            
1.14298             1.85702             0.121539            0.447126            
1.14464             1.8623              0.120925            0.4447              
1.14781             1.87084             0.12057             0.443025            
1.14793             1.87277             0.119748            0.439815            
1.13832             1.85356             0.117567            0.431684            
1.13992             1.8587              0.116998            0.429405            
1.14343             1.86792             0.116731            0.428043            
1.12868             1.83721             0.113953            0.417567            
1.12769             1.83663             0.113104            0.414146            
1.12707             1.83681             0.112325            0.410904            
1.12904             1.84267             0.111887            0.408995            
1.12847             1.84286             0.111136            0.405807            
1.12914             1.84583             0.110575            0.403277            
1.12972             1.84856             0.109993            0.400724            
1.13003             1.85064             0.109384            0.398047            
1.12848             1.84853             0.108538            0.394511            
1.12776             1.84828             0.107829            0.391393            
1.12728             1.84853             0.107151            0.388457            
1.12624             1.8475              0.106396            0.385276            
1.12646             1.84933             0.105819            0.382744            
1.12613             1.84989             0.10518             0.379982            
1.12749             1.85426             0.104775            0.378036            
1.12715             1.85477             0.104169            0.37529             
1.12586             1.85305             0.103434            0.372154            
1.12453             1.85119             0.102701            0.368998            
1.12672             1.85743             0.102431            0.367492            
1.12806             1.86169             0.102041            0.365631            
1.12782             1.86227             0.101464            0.363053            
1.12772             1.86317             0.100911            0.360544            
1.12457             1.85695             0.0999935           0.356686            
1.12467             1.85828             0.0995013           0.354356            
1.12202             1.85319             0.0986751           0.350821            
1.12341             1.8575              0.0983319           0.349126            
1.12471             1.86157             0.0979894           0.347401            
1.12442             1.86195             0.0974641           0.345001            
1.12437             1.86281             0.0969736           0.342675            
1.11879             1.85059             0.0958521           0.337969            
1.11808             1.8499              0.095315            0.335455            
1.11775             1.8501              0.0948159           0.333155            
1.11612             1.84719             0.0941714           0.330296            
1.11563             1.84699             0.0936771           0.327974            
1.11509             1.84662             0.09319             0.325651            
1.1156              1.84874             0.0928185           0.3238              
1.11465             1.84741             0.0922808           0.321375            
1.11422             1.84722             0.0918202           0.319138            
1.11248             1.84395             0.0912023           0.316403            
1.11158             1.84267             0.0906926           0.314048            
1.11227             1.84518             0.0903683           0.312367            
1.11107             1.84312             0.0898337           0.309933            
1.11091             1.84358             0.0894105           0.307957            
1.11215             1.84736             0.0891575           0.306572            
1.11225             1.8484              0.0887788           0.304742            
1.11147             1.84731             0.0883008           0.302565            
1.11088             1.84666             0.08786             0.300492            
1.11043             1.84629             0.0874314           0.298467            
1.11056             1.84734             0.0870794           0.296709            
1.11                1.84697             0.0865796           0.295173            
1.10451             1.83433             0.0856404           0.291234            
1.10355             1.83305             0.0852282           0.290434            
1.1017              1.82929             0.0846867           0.287999            
1.11065             1.85176             0.0852811           0.289765            
1.11156             1.85467             0.0850186           0.288389            
1.11145             1.85509             0.0846581           0.286621            
1.11118             1.85507             0.0842773           0.284812            
1.11055             1.85414             0.0838704           0.282876            
1.1091              1.85122             0.0833757           0.280679            
1.10878             1.85106             0.0830017           0.278929            
1.10939             1.85318             0.0827203           0.277539            
1.10916             1.85321             0.082366            0.275822            
1.11168             1.86016             0.0822599           0.275314            
1.10994             1.85641             0.0817605           0.273046            
1.11044             1.85823             0.0814884           0.271658            
1.11027             1.85835             0.0811533           0.270027            
1.11051             1.8595              0.0808588           0.268554            
1.11194             1.8636              0.0806822           0.267533            
1.10588             1.84902             0.0797769           0.263824            
1.10651             1.85114             0.079538            0.262559            
1.10671             1.85216             0.0792547           0.261152            
1.10705             1.85353             0.0789838           0.259797            
1.10743             1.85497             0.0787273           0.258453            
1.10684             1.85399             0.0783792           0.256794            
1.10708             1.85509             0.0781048           0.255478            
1.10718             1.85583             0.0778257           0.254085            
1.10689             1.85559             0.0775016           0.252605            
1.10771             1.85813             0.0772915           0.251496            
1.10565             1.85342             0.0768116           0.249402            
