onsite              nnhop               ospair              nnpair              
0.5                 0.5                 0.5                 0.5                 
0.500004            0.50001             0.500003            0.499989            
0.500011            0.500025            0.500012            0.499986            
0.500006            0.500025            0.500002            0.499957            
0.500006            0.500032            0.5                 0.499939            
0.500005            0.500038            0.499998            0.499921            
0.499999            0.500036            0.499987            0.499889            
0.500009            0.500054            0.499999            0.499891            
0.500007            0.500059            0.499995            0.49987             
0.50001             0.500068            0.499997            0.499858            
0.500012            0.500077            0.499998            0.499843            
0.50001             0.500081            0.499994            0.499822            
0.500008            0.500084            0.499988            0.499799            
0.500011            0.500094            0.49999             0.499786            
0.500008            0.500097            0.499984            0.499762            
0.500018            0.500115            0.499997            0.499766            
0.500011            0.500114            0.499985            0.499733            
0.499989            0.500095            0.499953            0.49967             
0.499996            0.500109            0.49996             0.499665            
0.499994            0.500113            0.499955            0.499643            
0.499996            0.500122            0.499957            0.49963             
0.499991            0.500122            0.499947            0.499601            
0.499994            0.500132            0.49995             0.499589            
0.499991            0.500135            0.499944            0.499565            
0.499991            0.500141            0.499942            0.499546            
0.499975            0.50013             0.499918            0.499497            
0.499969            0.50013             0.499908            0.499467            
0.499954            0.500118            0.499884            0.499416            
0.499956            0.500127            0.499885            0.499403            
0.499914            0.500087            0.499825            0.4993              
0.499918            0.500098            0.499829            0.49929             
0.499918            0.500103            0.499826            0.499271            
0.499919            0.500111            0.499826            0.499255            
0.499915            0.500113            0.499819            0.49923             
0.499918            0.500123            0.499821            0.499218            
0.499899            0.500107            0.499792            0.49916             
0.499904            0.50012             0.499798            0.499153            
0.499907            0.500129            0.4998              0.499141            
0.499908            0.500137            0.4998              0.499125            
0.499908            0.500143            0.499798            0.499107            
0.499905            0.500146            0.499792            0.499083            
0.499903            0.50015             0.499787            0.49906             
0.499904            0.500158            0.499787            0.499045            
0.499772            0.500014            0.4996              0.498755            
0.499767            0.500015            0.499591            0.498727            
0.499769            0.500024            0.499593            0.498714            
0.500217            0.500535            0.500215            0.499612            
0.500218            0.500542            0.500214            0.499594            
0.500215            0.500545            0.500208            0.499571            
0.500478            0.500847            0.500573            0.500091            
0.50047             0.500845            0.500561            0.500058            
0.500475            0.500857            0.500566            0.50005             
0.500469            0.500855            0.500555            0.500017            
0.500469            0.500863            0.500554            0.500001            
0.50047             0.50087             0.500554            0.499985            
0.500466            0.500871            0.500545            0.499957            
0.50048             0.500894            0.500564            0.499969            
0.500475            0.500894            0.500554            0.499939            
0.500468            0.500892            0.500543            0.499907            
0.500473            0.500905            0.500548            0.4999              
0.500471            0.500909            0.500543            0.499877            
0.50047             0.500914            0.50054             0.499857            
0.500452            0.5009              0.500513            0.499803            
0.500477            0.500935            0.500546            0.499836            
0.500476            0.50094             0.500543            0.499816            
0.500513            0.500988            0.500593            0.499873            
0.500516            0.500997            0.500595            0.499861            
0.500513            0.501               0.500588            0.499836            
0.500514            0.501008            0.500589            0.499821            
0.500506            0.501005            0.500575            0.499786            
0.500453            0.500951            0.500499            0.499659            
0.500462            0.500968            0.500511            0.49966             
0.500473            0.500987            0.500523            0.499664            
0.500476            0.500997            0.500526            0.499652            
0.50046             0.500985            0.500502            0.499602            
0.500457            0.500988            0.500496            0.499578            
0.500463            0.501001            0.500502            0.499571            
0.500462            0.501006            0.500499            0.499551            
0.50044             0.500988            0.500466            0.499488            
0.500443            0.500998            0.500469            0.499477            
0.500439            0.500999            0.500461            0.49945             
0.500439            0.501006            0.500459            0.499432            
0.500435            0.501008            0.500452            0.499406            
0.500449            0.501029            0.500469            0.499415            
0.50044             0.501025            0.500454            0.499378            
0.500444            0.501036            0.500459            0.49937             
0.500439            0.501037            0.50045             0.499342            
0.500466            0.501074            0.500486            0.499378            
0.500453            0.501066            0.500466            0.499334            
0.500469            0.50109             0.500486            0.499348            
0.500466            0.501093            0.500481            0.499325            
0.500564            0.50121             0.500615            0.499507            
0.500563            0.501215            0.500612            0.499487            
0.500565            0.501223            0.500612            0.499472            
0.500562            0.501227            0.500607            0.499449            
0.500552            0.501221            0.50059             0.49941             
0.500556            0.501233            0.500595            0.499401            
0.500571            0.501255            0.500613            0.499412            
0.500573            0.501264            0.500614            0.499398            
0.500554            0.501249            0.500586            0.499342            
0.500555            0.501257            0.500585            0.499326            
