onsite              nnhop               ospair              nnpair              
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
0.5                 0.5                 0.5                 0.5                 
