onsite              nnhop               ospair              nnpair              
0.5                 0.5                 0.5                 0.5                 
0.501386            0.507138            0.499327            0.503643            
0.50467             0.516019            0.501761            0.510487            
0.521326            0.53792             0.527563            0.543117            
0.514915            0.538058            0.512538            0.530796            
0.516695            0.546027            0.512068            0.535099            
0.516885            0.552382            0.508653            0.536099            
0.563685            0.604694            0.58728             0.623419            
0.557513            0.605864            0.570451            0.608017            
0.52525             0.580239            0.506711            0.543235            
0.517259            0.578459            0.488395            0.530131            
0.518121            0.58538             0.486017            0.533405            
0.515944            0.589152            0.478154            0.531228            
0.50993             0.589043            0.463622            0.523233            
0.505818            0.590382            0.452485            0.517747            
0.514074            0.60449             0.463038            0.533599            
0.5283              0.625115            0.484028            0.55949             
0.528633            0.631377            0.479698            0.56041             
0.520554            0.628841            0.460478            0.547659            
0.518298            0.632383            0.451832            0.545859            
0.530042            0.650432            0.467423            0.566013            
0.527131            0.65331             0.457058            0.562348            
0.521808            0.653089            0.442397            0.553761            
0.529261            0.666668            0.450078            0.566612            
0.523064            0.665252            0.433773            0.556259            
0.522851            0.670491            0.427882            0.556819            
0.521803            0.674514            0.420496            0.555337            
0.521375            0.679288            0.414145            0.55533             
0.521002            0.683898            0.407745            0.554892            
0.505712            0.67148             0.376566            0.53087             
0.499295            0.668814            0.360684            0.521868            
0.496556            0.670411            0.350812            0.51943             
0.496273            0.67411             0.344883            0.518999            
0.495013            0.6767              0.33734             0.517308            
0.490707            0.675695            0.32502             0.511237            
0.489079            0.677254            0.317093            0.508094            
0.500659            0.694426            0.328743            0.524532            
0.503191            0.700656            0.32657             0.526468            
0.50328             0.704396            0.320692            0.525845            
0.502476            0.706682            0.313502            0.523142            
0.503441            0.711516            0.308794            0.524276            
0.52213             0.736973            0.328927            0.548884            
0.519258            0.737126            0.318322            0.543334            
0.522068            0.744396            0.315636            0.546978            
0.582377            0.819754            0.393412            0.628227            
0.584345            0.826943            0.387753            0.629174            
0.577403            0.823362            0.368958            0.616997            
0.562822            0.810737            0.339434            0.595344            
0.565049            0.816679            0.334629            0.59478             
0.567638            0.82312             0.330292            0.594938            
0.574247            0.833802            0.331111            0.598962            
0.572705            0.835367            0.321149            0.593839            
0.602722            0.875638            0.351735            0.630916            
0.604992            0.882318            0.345874            0.630663            
0.601629            0.88257             0.332511            0.624018            
0.594546            0.876347            0.315771            0.608915            
0.587504            0.872313            0.29773             0.599538            
0.589285            0.874081            0.296002            0.591882            
0.571584            0.851856            0.28847             0.564287            
0.569347            0.850903            0.279722            0.55675             
0.580671            0.863194            0.280298            0.558568            
0.58902             0.872307            0.280594            0.558926            
0.587591            0.871818            0.280539            0.558511            
0.599047            0.880092            0.280752            0.559301            
0.600859            0.882217            0.279494            0.553453            
0.60945             0.896467            0.281427            0.561859            
0.593975            0.880251            0.258434            0.542418            
0.592615            0.881567            0.250145            0.539283            
